phase	step	pos	tok	label	n	min	max	mean	l2	values
ssm	1	0	44883	post_ffn	5120	-1.0701226	19.2449608	0.00279224776	19.9361848	-0.0835555792,0.0579531156,-0.0196776576,0.0773422271,-0.138367951,-0.108516097,-0.0493313335,-0.10937272,0.156788424,0.0553095639,0.0141078671,-0.0422421321,-0.0881162435,-0.0705158934,-0.0120228268,0.0406427085
ssm	2	0	44883	attn_norm	5120	-4.19339228	26.172121	0.000954185104	33.1060453	-0.301832706,0.222931534,-0.0714836493,0.281624317,-0.543422401,-0.391095698,-0.179564103,-0.417471737,0.603676438,0.198378846,0.0512902699,-0.153454319,-0.322013676,-0.261000335,-0.0436704345,0.150502011
ssm	2	0	44883	wqkv	10240	-5.7644043	5.42832708	-0.00684021038	60.9174492	0.560510993,-0.495059222,-0.050113827,-0.177288041,0.512268364,-0.253488988,0.358587027,0.564115644,0.264211208,0.0935862064,1.16238379,-0.0461861193,1.10867786,-0.0491880998,-0.190714911,-0.175173566
ssm	2	0	44883	wqkv_gate	6144	-6.50377035	3.50775933	-0.0198383766	47.3177683	1.09953499,0.348896235,1.28669071,0.956005812,0.0615602732,-1.35560727,1.06997049,1.10949242,1.65581894,1.18489325,0.564465404,0.989218295,0.14711383,0.469763279,0.185789436,0.793605149
ssm	2	0	44883	beta	48	0.0945098177	0.94437474	0.572909089	4.29254711	0.94437474,0.748518527,0.232781857,0.506892145,0.663674414,0.905499876,0.409653574,0.716320455,0.429057032,0.226445436,0.784684479,0.310305744,0.608458042,0.605233431,0.162170604,0.257321954
ssm	2	0	44883	dt	48	-3.72525167	-0.00500492193	-1.03652101	9.25954435	-3.72525167,-0.142936304,-1.97313368,-2.06106806,-0.873554945,-0.260080218,-1.88115489,-0.466652721,-0.482873648,-0.115018167,-1.77537513,-1.28505993,-1.57381999,-1.00172353,-2.23501182,-2.28591609
ssm	2	0	44883	conv_raw	10240	-0.89505887	0.664869368	0.00268894659	3.63860816	0.0254528914,-0.0246562697,-0.00221450254,-0.00796411093,0.0243877769,-0.0103970096,0.0162834935,0.0754725039,0.0108367875,0.00399843417,0.0292298663,0.00217625033,0.052239947,-0.00218560407,0.00796197541,-0.00795465894
ssm	2	0	44883	conv	10240	-0.259626985	0.439048767	0.00166171038	1.90914494	0.012888399,-0.0121761588,-0.0011060253,-0.0039661983,0.0123425722,-0.00517148059,0.00820803363,0.0391595997,0.00544775231,0.00200321386,0.0148285143,0.00108930923,0.0268020723,-0.00109160785,0.00399683602,-0.00396151002
ssm	2	0	44883	deltanet	6144	-0.00108263921	0.00392086664	7.49685143e-06	0.0102481351	5.92503739e-06,5.40281144e-05,1.5956788e-05,8.47223237e-06,8.15543681e-05,-0.000168354425,2.97054567e-06,-4.96647317e-07,-1.70324183e-05,7.49759579e-07,-3.14432837e-05,8.57105624e-06,-8.37680454e-06,1.32279174e-05,1.46455059e-05,1.7155824e-05
ssm	2	0	44883	gate	6144	-0.278461158	3.4057107	0.0659913308	25.7363771	0.82484138,0.20457527,1.00823355,0.690543473,0.0317272544,-0.277838707,0.796690702,0.834376574,1.3903513,0.907422602,0.359838307,0.721074343,0.0789578035,0.289058387,0.101499416,0.546480358
ssm	2	0	44883	rms_gated	6144	-0.500485003	1.08058143	0.000225023513	1.57199357	0.00449903635,0.0102611464,0.0153123699,0.00358289876,0.00245262962,0.044154875,0.00222478993,-0.000383093284,-0.022446733,0.000634271943,-0.0105040856,0.00585823273,-0.000626939582,0.00359451305,0.00141482835,0.00881351531
ssm	2	0	44883	ssm_out	5120	-1.26166201	1.31979227	-1.72151989e-05	2.4752045	0.00590608409,0.012006741,-0.00427146675,0.0354479775,0.00815156009,0.00889641047,0.00333978049,-0.0181485824,0.0155987013,0.0222024322,0.0131148919,0.00011093216,-0.0116018979,-0.000640871003,0.0120322257,0.0338861719
ssm	2	0	44883	layer_out	5120	-2.33178473	20.5647526	0.00277503242	21.4356787	-0.0776494965,0.0699598566,-0.0239491239,0.112790205,-0.13021639,-0.0996196866,-0.0459915549,-0.127521306,0.172387123,0.077511996,0.02722276,-0.0421312004,-0.0997181386,-0.0711567625,9.39890742e-06,0.0745288804
ssm	2	0	44883	post_norm	5120	-3.04049134	2.14060283	-0.00175478854	14.449905	-0.227685392,0.185638756,-0.0714341849,0.335321635,-0.307326168,-0.289671242,-0.135007277,-0.325491667,0.462487519,0.231198698,0.0783588812,-0.123675272,-0.296621323,-0.207371488,2.16923199e-05,0.214040458
ssm	2	0	44883	ffn_gate	17408	-1.11252201	3.33134222	-0.0335010919	22.5091412	0.0639625192,-0.133406907,-0.00914904475,-0.393800616,0.0143334344,-0.0478290096,-0.0134698451,0.0765006095,0.121477902,-0.0529008359,-0.147625953,0.0319753252,0.103181928,0.145832002,0.138849422,0.120332517
ssm	2	0	44883	ffn_up	17408	-1.07152891	1.18568695	0.00153451368	20.6079223	-0.0159922913,-0.165178731,0.108080119,-0.00237894803,0.142234012,0.0209997706,-0.121007353,-0.0782169625,0.143532827,-0.0040282812,0.381213456,-0.169412881,-0.0228153318,0.0708025396,-0.0268954206,-0.00529090315
ssm	2	0	44883	ffn_mul	17408	-0.586993158	1.15383685	0.000126664213	2.45935941	-0.00050736405,0.0101100858,-0.000521107169,0.000467858394,0.00109172217,-0.000507471967,0.000765726261,-0.00287487661,0.00934262294,0.000106335108,-0.0334378667,-0.00247963425,-0.00116363796,0.00534532545,-0.00184209878,-0.000317491736
ssm	2	0	44883	ffn_down	5120	-0.864928722	0.207059041	-0.000895751841	2.34282681	-0.0078560235,-0.00436866842,-0.0168323629,-0.0265243016,-0.00341539551,-0.0184115432,-0.047250282,-0.0479560234,0.0169853717,-0.00403145514,-0.00674139149,0.00474962313,0.0170551911,-0.00336088054,-0.0255260486,-0.0165630914
ssm	2	0	44883	post_ffn	5120	-2.76670122	19.6998234	0.00187928046	20.9226077	-0.0855055228,0.0655911863,-0.0407814868,0.0862659067,-0.133631781,-0.118031234,-0.0932418406,-0.175477326,0.189372495,0.073480539,0.0204813685,-0.0373815782,-0.0826629475,-0.0745176449,-0.0255166497,0.057965789
attn	3	0	44883	rms	5120	-17.851965	88.6888199	0.00751959802	94.8302264	-0.343824893,0.278205603,-0.16453059,0.355237573,-0.589115322,-0.481314868,-0.377424508,-0.770075023,0.827258587,0.297434688,0.0854354426,-0.152311996,-0.33681187,-0.31556952,-0.106098607,0.246249586
attn	3	0	44883	q_proj	6144	-6.88199949	9.05305958	-2.2789917	259.241473	-0.534291029,-0.452610731,0.263455927,-0.58340168,-0.142228514,-0.299855769,-0.440533876,0.506142318,0.514026165,-0.456818283,0.529914677,0.256214797,-0.152013347,0.590192676,0.496757388,1.07471681
attn	3	0	44883	gate_src	6144	-8.48342896	12.2428951	-2.28502007	262.040253	-0.655329466,-0.450077951,-0.382678956,0.531413496,0.994091749,-0.014203012,0.728196681,0.957157969,-0.461080939,0.159345448,0.132794827,-0.181919634,0.0288962424,-0.251943529,0.118813708,-0.335023582
attn	3	0	44883	v_proj	1024	-2.16020894	3.62216854	-0.0135170035	19.2720337	-0.238644794,-0.417475402,-0.061131984,-0.421452314,0.247947752,-0.309276521,-0.119394124,-0.0197741538,0.544179678,0.442341924,-0.501410186,0.11244458,-0.0848873854,0.203917444,-0.0987218767,0.121038109
attn	3	0	44883	attn_raw	6144	-2.16020894	3.62216854	-0.0135170035	47.2066488	-0.238644794,-0.417475402,-0.061131984,-0.421452314,0.247947752,-0.309276521,-0.119394124,-0.0197741538,0.544179678,0.442341924,-0.501410186,0.11244458,-0.0848873854,0.203917444,-0.0987218767,0.121038109
attn	3	0	44883	attn_gated	6144	-1.73350358	2.5205698	-0.00285070226	17.8318263	-0.0815662965,-0.162540823,-0.0247878525,-0.265436023,0.180975914,-0.153540134,-0.0805205256,-0.0142878629,0.210450292,0.238755077,-0.267326862,0.0511223786,-0.0430568792,0.0891823173,-0.0522898696,0.050475169
attn	3	0	44883	attn_out	5120	-4.86168957	97.3417816	0.0248785858	100.855829	0.556038558,-0.144332528,0.299197108,0.720019579,0.0972407684,-0.206021771,0.0441177189,0.0758792013,0.151960298,0.101667576,-0.23776935,0.14681986,0.0685168654,-0.376217574,-0.241088882,-0.182678387
attn	3	0	44883	post_ffn	5120	-7.76527834	115.394226	0.026938899	118.546803	0.450288147,-0.00879499316,0.362607449,0.777094126,-0.0121105909,-0.363575518,-0.100645714,-0.158310175,0.356881022,0.15344587,-0.255744487,0.0554422103,-0.00729892403,-0.426873088,-0.294533551,-0.233381197
out	-1	0	44883	output_norm	ptr	h2	0x7f6819005000	device
